season,n_contestants,max_week_competed,voting_method,is_all_star
1,6,6,rank,0
2,10,8,rank,0
3,11,10,percent,0
4,11,10,percent,0
5,12,10,percent,0
6,12,10,percent,0
7,13,10,percent,0
8,13,11,percent,0
9,16,10,percent,0
10,11,10,percent,0
11,12,10,percent,0
12,11,10,percent,0
13,12,10,percent,0
14,12,10,percent,0
15,13,10,percent,1
16,12,10,percent,0
17,12,11,percent,0
18,12,10,percent,0
19,13,11,percent,0
20,12,10,percent,0
21,13,11,percent,0
22,12,10,percent,0
23,13,11,percent,0
24,12,10,percent,0
25,13,10,percent,0
26,10,4,percent,0
27,13,9,percent,0
28,12,11,rank,0
29,15,11,rank,0
30,15,10,rank,0
31,16,10,rank,0
32,14,11,rank,0
33,13,9,rank,0
34,14,11,rank,0
