season,week,voting_method,consistent,message,error
1,2,rank,True,consistent,
1,3,rank,True,consistent,
1,4,rank,True,consistent,
2,1,rank,True,consistent,
2,2,rank,True,consistent,
2,3,rank,True,consistent,
2,4,rank,True,consistent,
2,5,rank,True,consistent,
2,6,rank,True,consistent,
2,7,rank,True,consistent,
3,1,percent,True,consistent,
3,2,percent,True,consistent,
3,3,percent,True,consistent,
3,4,percent,True,consistent,
3,5,percent,True,consistent,
3,7,percent,True,consistent,
3,8,percent,True,consistent,
4,2,percent,True,consistent,
4,3,percent,True,consistent,
4,4,percent,True,consistent,
4,5,percent,True,consistent,
4,6,percent,True,consistent,
4,7,percent,True,consistent,
4,8,percent,True,consistent,
4,9,percent,True,consistent,
5,1,percent,True,consistent,
5,2,percent,True,consistent,
5,3,percent,True,consistent,
5,4,percent,True,consistent,
5,5,percent,True,consistent,
5,6,percent,True,consistent,
5,7,percent,True,consistent,
5,8,percent,True,consistent,
5,9,percent,True,consistent,
6,2,percent,True,consistent,
6,3,percent,True,consistent,
6,4,percent,True,consistent,
6,5,percent,True,consistent,
6,6,percent,True,consistent,
6,7,percent,True,consistent,
6,8,percent,True,consistent,
6,9,percent,True,consistent,
7,1,percent,True,consistent,
7,2,percent,True,consistent,
7,4,percent,True,consistent,
7,5,percent,True,consistent,
7,6,percent,True,consistent,
7,7,percent,True,consistent,
7,8,percent,True,consistent,
7,9,percent,True,consistent,
8,2,percent,True,consistent,
8,3,percent,True,consistent,
8,4,percent,True,consistent,
8,5,percent,True,consistent,
8,6,percent,True,consistent,
8,7,percent,True,consistent,
8,8,percent,True,consistent,
8,9,percent,True,consistent,
8,10,percent,True,consistent,
9,1,percent,True,consistent,
9,2,percent,True,consistent,
9,3,percent,True,consistent,
9,4,percent,True,consistent,
9,5,percent,True,consistent,
9,6,percent,True,consistent,
9,7,percent,True,consistent,
9,8,percent,True,consistent,
9,9,percent,True,consistent,
10,2,percent,True,consistent,
10,3,percent,True,consistent,
10,4,percent,True,consistent,
