season,week,celebrity_name,fan_share_lb,fan_share_ub
1,2,Evander Holyfield,0.01633058676556415,0.8337365142731646
1,3,Evander Holyfield,0.00016472511365409227,0.47935593978889507
1,2,Joey McIntyre,2.352875345901342e-05,0.8282631022117559
1,3,Joey McIntyre,5.909606114482846e-08,0.8830767247439398
1,4,Joey McIntyre,0.26627495583689387,0.8949685764248657
1,2,John O'Hurley,6.263576366799206e-05,0.7634313322263221
1,3,John O'Hurley,1.9275213867305257e-06,0.9485322772378997
1,4,John O'Hurley,0.05153075333556851,0.4482043324309289
1,2,Kelly Monaco,0.007881161071171497,0.8236711762737867
1,3,Kelly Monaco,0.01173125467678175,0.94591109392176
1,4,Kelly Monaco,0.011065333073030653,0.32554251928306044
1,2,Rachel Hunter,7.747051301820579e-07,0.8751683573704843
1,3,Rachel Hunter,4.549073257769852e-11,0.8936366417212337
1,4,Rachel Hunter,2.6703330277016323e-05,0.23553704528036593
1,2,Trista Sutter,1.7002708904739477e-05,0.21153817320929744
2,1,Drew Lachey,1.3102553479863833e-06,0.6227985850357046
2,2,Drew Lachey,1.1112935038320509e-10,0.839396877993088
2,3,Drew Lachey,3.1078871955007203e-09,0.8121039680273283
2,4,Drew Lachey,3.4792027497251424e-10,0.8445528119150051
2,5,Drew Lachey,3.245323014991211e-08,0.8548399135382959
2,6,Drew Lachey,1.3338980279427479e-06,0.8729668242684374
2,7,Drew Lachey,1.939852127159719e-06,0.9545829893536609
2,1,George Hamilton,0.001130832729129103,0.6254388483300812
2,2,George Hamilton,1.3510252340643285e-09,0.8579296213226663
2,3,George Hamilton,1.975078098666137e-06,0.8603337074847209
2,4,George Hamilton,0.0005899113317138827,0.8951003364422558
2,5,George Hamilton,0.00029624163979618406,0.9675482327337508
2,6,George Hamilton,0.000138824270260477,0.4722465172068735
2,1,Giselle Fernandez,1.7186636963216544e-05,0.6514877209738243
2,2,Giselle Fernandez,1.2783866265648784e-09,0.9013659601256632
2,3,Giselle Fernandez,1.0111493424237322e-09,0.15214915049799993
2,1,Jerry Rice,2.257400507870136e-06,0.6574046731428552
2,2,Jerry Rice,2.3412862796217256e-09,0.8342715212288138
2,3,Jerry Rice,3.730808430983751e-05,0.8405482192383645
2,4,Jerry Rice,1.364199781747067e-08,0.856404744312041
2,5,Jerry Rice,4.568283184767088e-07,0.9314659422779749
2,6,Jerry Rice,0.002787742508078933,0.9075595111539199
2,7,Jerry Rice,0.017180043675626856,0.9838710586442472
2,1,Kenny Mayne,4.937963486538546e-07,0.14878627450319823
2,1,Lisa Rinna,5.999038775167485e-06,0.6825828489586735
2,2,Lisa Rinna,2.4094859089383774e-08,0.8714835702132493
2,3,Lisa Rinna,7.231132372474001e-07,0.8795960613175654
2,4,Lisa Rinna,4.488967147620282e-08,0.85516901406514
2,5,Lisa Rinna,4.445573583746174e-06,0.922850396493436
2,6,Lisa Rinna,1.6996328344378428e-05,0.8887829448058056
2,7,Lisa Rinna,0.00010467084739584802,0.4937500690208908
2,1,Master P,0.0027544446522920927,0.6770427378269924
2,2,Master P,0.00010289011804038415,0.9280535097580166
2,3,Master P,0.0016917151381910687,0.9099319342909857
2,4,Master P,4.149792566335657e-07,0.3968685835021016
2,1,Stacy Keibler,1.2732302149636883e-06,0.6436067795473517
2,2,Stacy Keibler,3.252164004451746e-09,0.9077633720781745
2,3,Stacy Keibler,4.0800349314375835e-09,0.8515854101454473
2,4,Stacy Keibler,7.939058820781102e-10,0.872832462887003
