season,week,n_elim,elim_rank,elim_percent,flip
1,2,1,Trista Sutter,Trista Sutter,False
1,3,1,Evander Holyfield,Evander Holyfield,False
1,4,1,Rachel Hunter,Rachel Hunter,False
2,1,1,Kenny Mayne,Kenny Mayne,False
2,2,1,Tatum O'Neal,Tatum O'Neal,False
2,3,1,Giselle Fernandez,Giselle Fernandez,False
2,4,1,Master P,Master P,False
2,5,1,Tia Carrere,Tia Carrere,False
2,6,1,George Hamilton,George Hamilton,False
2,7,1,Lisa Rinna,Lisa Rinna,False
3,1,1,Tucker Carlson,Tucker Carlson,False
3,2,1,Shanna Moakler,Shanna Moakler,False
3,3,1,Harry Hamlin,Harry Hamlin,False
3,4,1,Vivica A. Fox,Vivica A. Fox,False
3,5,1,Jerry Springer,Willa Ford,True
3,7,1,Jerry Springer,Jerry Springer,False
3,8,1,Monique Coleman,Monique Coleman,False
4,2,1,Paulina Porizkova,Paulina Porizkova,False
4,3,1,Shandi Finnessey,Shandi Finnessey,False
4,4,1,Leeza Gibbons,Leeza Gibbons,False
4,5,1,Clyde Drexler,Clyde Drexler,False
4,6,1,Heather Mills,Heather Mills,False
4,7,1,John Ratzenberger,John Ratzenberger,False
4,8,1,Billy Ray Cyrus,Billy Ray Cyrus,False
4,9,1,Ian Ziering,Ian Ziering,False
5,1,1,Josie Maran,Josie Maran,False
5,2,1,Albert Reed,Albert Reed,False
5,3,1,Wayne Newton,Wayne Newton,False
5,4,1,Floyd Mayweather Jr. ,Floyd Mayweather Jr. ,False
5,5,1,Mark Cuban,Mark Cuban,False
5,6,1,Sabrina Bryan,Sabrina Bryan,False
5,7,1,Jane Seymour,Jane Seymour,False
5,8,1,Cameron Mathison,Cameron Mathison,False
5,9,1,Jennie Garth,Jennie Garth,False
6,2,2,Monica Seles;Penn Jillette,Monica Seles;Penn Jillette,False
6,3,1,Steve Guttenberg,Steve Guttenberg,False
6,4,1,Adam Carolla,Adam Carolla,False
6,5,1,Priscilla Presley,Priscilla Presley,False
6,6,1,Marlee Matlin,Marlee Matlin,False
6,7,1,Shannon Elizabeth,Shannon Elizabeth,False
6,8,1,Jason Taylor,Mario,True
6,9,1,Marissa Jaret Winokur,Marissa Jaret Winokur,False
7,1,2,Jeffrey Ross;Ted McGinley,Jeffrey Ross;Ted McGinley,False
7,2,1,Kim Kardashian,Kim Kardashian,False
7,4,1,Rocco DiSpirito,Rocco DiSpirito,False
7,5,1,Toni Braxton,Toni Braxton,False
7,6,1,Cloris Leachman,Cloris Leachman,False
7,7,1,Susan Lucci,Susan Lucci,False
7,8,1,Maurice Greene,Maurice Greene,False
7,9,1,Cody Linley,Cody Linley,False
8,2,1,Belinda Carlisle,Belinda Carlisle,False
8,3,1,Denise Richards,Denise Richards,False
8,4,2,Holly Madison;Steve Wozniak,Holly Madison;Steve Wozniak,False
8,5,1,David Alan Grier,David Alan Grier,False
8,6,1,Steve-O,Steve-O,False
8,7,1,Lawrence Taylor,Lawrence Taylor,False
8,8,1,Chuck Wicks,Chuck Wicks,False
8,9,1,Lil' Kim,Lil' Kim,False
8,10,1,Ty Murray,Ty Murray,False
9,1,2,Ashley Hamiliton;Macy Gray,Ashley Hamiliton;Macy Gray,False
9,2,1,Kathy Ireland,Kathy Ireland,False
9,3,1,Debi Mazar,Debi Mazar,False
9,4,1,Chuck Liddell,Chuck Liddell,False
9,5,1,Natalie Coughlin,Natalie Coughlin,False
9,6,2,Louie Vito;Melissa Joan Hart,Louie Vito;Melissa Joan Hart,False
9,7,2,Mark Dacascos;Michael Irvin,Mark Dacascos;Michael Irvin,False
9,8,1,Aaron Carter,Aaron Carter,False
9,9,1,Joanna Krupa,Joanna Krupa,False
10,2,1,Shannen Doherty,Shannen Doherty,False
10,3,1,Buzz Aldrin,Buzz Aldrin,False
10,4,1,Aiden Turner,Aiden Turner,False
10,5,1,Kate Gosselin,Kate Gosselin,False
10,6,1,Jake Pavelka,Jake Pavelka,False
10,7,1,Pamela Anderson,Pamela Anderson,False
10,8,1,Niecy Nash,Niecy Nash,False
10,9,1,Chad Ochocinco,Chad Ochocinco,False
11,1,1,David Hasselhoff,David Hasselhoff,False
11,2,1,Michael Bolton,Michael Bolton,False
11,3,1,Margaret Cho,Margaret Cho,False
11,4,1,The Situation,The Situation,False
11,5,1,Florence Henderson,Florence Henderson,False
11,6,1,Jennifer Grey,Audrina Patridge,True
11,7,1,Rick Fox,Rick Fox,False
11,8,1,Kurt Warner,Kurt Warner,False
11,9,1,Brandy,Brandy,False
12,2,1,Mike Catherwood,Mike Catherwood,False
12,3,1,Wendy Williams,Wendy Williams,False
12,4,1,Sugar Ray Leonard,Sugar Ray Leonard,False
12,5,1,Petra Nemcova,Petra Nemcova,False
12,6,1,Chris Jericho,Chris Jericho,False
12,7,1,Kendra Wilkinson,Kendra Wilkinson,False
12,8,1,Romeo,Romeo,False
12,9,1,Ralph Macchio,Ralph Macchio,False
13,1,1,Metta World Peace (Ron),Metta World Peace (Ron),False
13,2,1,Elisabetta Canalis,Elisabetta Canalis,False
13,3,1,Kristin Cavallari,Kristin Cavallari,False
13,4,1,Chynna Phillips,Chynna Phillips,False
13,5,1,Carson Kressley,Carson Kressley,False
13,6,1,Chaz Bono,Chaz Bono,False
13,7,1,David Arquette,David Arquette,False
13,8,1,Nancy Grace,Nancy Grace,False
13,9,1,Hope Solo,Hope Solo,False
14,2,1,Martina Navratilova,Martina Navratilova,False
14,3,1,Jack Wagner,Jack Wagner,False
14,4,1,Sherri Sheperd,Sherri Sheperd,False
14,5,1,Gavin DeGraw,Gavin DeGraw,False
14,6,1,Gladys Knight,Gladys Knight,False
14,7,1,Jaleel White,Jaleel White,False
14,8,2,Maria Menounos;Melissa Gilbert,Melissa Gilbert;Roshon Fegan,True
14,9,1,Donald Driver,Maria Menounos,True
15,1,1,Pamela Anderson,Pamela Anderson,False
15,2,1,Joey Fatone,Joey Fatone,False
15,3,2,Drew Lachey;Helio Castroneves,Drew Lachey;Helio Castroneves,False
15,4,1,Bristol Palin,Bristol Palin,False
15,6,1,Emmitt Smith,Sabrina Bryan,True
15,8,2,Gilles Marini;Kirstie Alley,Gilles Marini;Kirstie Alley,False
15,9,2,Apolo Anton Ohno;Emmitt Smith,Apolo Anton Ohno;Emmitt Smith,False
16,3,1,Wynonna Judd,Wynonna Judd,False
16,4,1,Lisa Vanderpump,Lisa Vanderpump,False
16,5,1,D. L. Hughley,D. L. Hughley,False
