season,total_weeks,flip_count,flip_rate
1,3,0,0.0
2,7,0,0.0
3,7,1,0.14285714285714285
4,8,0,0.0
5,9,0,0.0
6,8,1,0.125
7,8,0,0.0
8,9,0,0.0
9,9,0,0.0
10,8,0,0.0
11,9,1,0.1111111111111111
12,8,0,0.0
13,9,0,0.0
14,8,2,0.25
15,7,1,0.14285714285714285
16,8,0,0.0
17,9,1,0.1111111111111111
18,7,0,0.0
19,10,0,0.0
20,8,1,0.125
21,7,1,0.14285714285714285
22,7,2,0.2857142857142857
23,9,1,0.1111111111111111
24,8,2,0.25
25,8,0,0.0
26,3,0,0.0
27,7,0,0.0
28,7,1,0.14285714285714285
29,9,0,0.0
30,8,1,0.125
31,9,1,0.1111111111111111
32,9,2,0.2222222222222222
33,6,1,0.16666666666666666
34,8,1,0.125
