season,week,voting_method,eliminated_name,bottom_two_other,judge_score_eliminated,judge_score_other,would_have_been_saved
1,2,rank,Trista Sutter,Joey McIntyre,19.0,21.0,False
1,3,rank,Evander Holyfield,Joey McIntyre,13.0,22.0,False
1,4,rank,Rachel Hunter,John O'Hurley,25.0,21.0,True
2,1,rank,Kenny Mayne,Jerry Rice,13.0,21.0,False
2,2,rank,Tatum O'Neal,Jerry Rice,17.0,23.0,False
2,3,rank,Giselle Fernandez,Jerry Rice,22.0,19.0,True
2,4,rank,Master P,Tia Carrere,8.0,25.0,False
2,5,rank,Tia Carrere,Jerry Rice,22.0,23.0,False
2,6,rank,George Hamilton,Stacy Keibler,23.0,30.0,False
2,7,rank,Lisa Rinna,Stacy Keibler,26.5,27.5,False
3,1,percent,Tucker Carlson,Sara Evans,12.0,15.0,False
3,2,percent,Shanna Moakler,Jerry Springer,22.0,19.0,True
3,3,percent,Harry Hamlin,Emmitt Smith,22.0,19.0,True
3,4,percent,Vivica A. Fox,Sara Evans,24.0,20.0,True
3,5,percent,Willa Ford,Jerry Springer,27.0,24.0,True
3,7,percent,Jerry Springer,Mario Lopez,23.0,28.0,False
3,8,percent,Monique Coleman,Joey Lawrence,26.5,27.0,False
4,2,percent,Paulina Porizkova,Clyde Drexler,21.0,18.0,True
4,3,percent,Shandi Finnessey,Clyde Drexler,21.0,16.0,True
4,4,percent,Leeza Gibbons,Clyde Drexler,16.0,15.0,True
4,5,percent,Clyde Drexler,Billy Ray Cyrus,13.0,17.0,False
4,6,percent,Heather Mills,John Ratzenberger,23.0,19.0,True
4,7,percent,John Ratzenberger,Billy Ray Cyrus,22.5,19.0,True
4,8,percent,Billy Ray Cyrus,Laila Ali,19.0,26.5,False
4,9,percent,Ian Ziering,Apolo Anton Ohno,29.0,29.5,False
5,1,percent,Josie Maran,Floyd Mayweather Jr. ,16.0,18.0,False
5,2,percent,Albert Reed,Wayne Newton,21.0,15.0,True
5,3,percent,Wayne Newton,Mark Cuban,18.0,20.0,False
5,4,percent,Floyd Mayweather Jr. ,Mark Cuban,23.0,22.0,True
5,5,percent,Mark Cuban,Marie Osmond,21.0,21.0,False
5,6,percent,Sabrina Bryan,Jane Seymour,25.0,22.0,True
5,7,percent,Jane Seymour,Jennie Garth,25.0,26.5,False
5,8,percent,Cameron Mathison,Jennie Garth,25.5,25.0,True
5,9,percent,Jennie Garth,Marie Osmond,29.0,28.0,True
6,3,percent,Steve Guttenberg,Marissa Jaret Winokur,21.0,19.0,True
6,4,percent,Adam Carolla,Marlee Matlin,19.0,24.0,False
6,5,percent,Priscilla Presley,Shannon Elizabeth,21.0,23.0,False
6,6,percent,Marlee Matlin,Jason Taylor,21.0,24.0,False
6,7,percent,Shannon Elizabeth,Marissa Jaret Winokur,25.5,26.0,False
6,8,percent,Mario,Marissa Jaret Winokur,26.5,25.0,True
6,9,percent,Marissa Jaret Winokur,Kristi Yamaguchi,26.0,28.5,False
7,2,percent,Kim Kardashian,Cloris Leachman,17.0,15.0,True
7,4,percent,Rocco DiSpirito,Maurice Greene,18.0,20.0,False
7,5,percent,Toni Braxton,Susan Lucci,22.0,22.0,False
7,6,percent,Cloris Leachman,Maurice Greene,15.0,21.0,False
7,7,percent,Susan Lucci,Lance Bass,24.0,25.0,False
7,8,percent,Maurice Greene,Lance Bass,24.0,25.0,False
7,9,percent,Cody Linley,Brooke Burke,23.0,24.5,False
8,2,percent,Belinda Carlisle,Steve-O,18.0,14.0,True
8,3,percent,Denise Richards,Steve Wozniak,16.0,10.0,True
8,5,percent,David Alan Grier,Steve-O,22.0,18.0,True
8,6,percent,Steve-O,Ty Murray,16.0,18.0,False
8,7,percent,Lawrence Taylor,Lil' Kim,21.0,26.0,False
8,8,percent,Chuck Wicks,Shawn Johnson,25.5,26.0,False
8,9,percent,Lil' Kim,Gilles Marini,26.0,28.0,False
8,10,percent,Ty Murray,Shawn Johnson,24.0,28.0,False
9,2,percent,Kathy Ireland,Tom DeLay,18.0,18.0,False
9,3,percent,Debi Mazar,Michael Irvin,17.0,14.0,True
9,4,percent,Chuck Liddell,Louie Vito,17.0,16.0,True
9,5,percent,Natalie Coughlin,Michael Irvin,22.0,21.0,True
9,8,percent,Aaron Carter,Joanna Krupa,25.0,26.0,False
9,9,percent,Joanna Krupa,Kelly Osbourne,27.0,25.9998,True
10,2,percent,Shannen Doherty,Buzz Aldrin,20.0,12.0,True
10,3,percent,Buzz Aldrin,Kate Gosselin,13.0,15.0,False
10,4,percent,Aiden Turner,Kate Gosselin,16.5,16.0,True
10,5,percent,Kate Gosselin,Niecy Nash,15.0,18.0,False
10,6,percent,Jake Pavelka,Niecy Nash,24.9999,25.9998,False
10,7,percent,Pamela Anderson,Nicole Scherzinger,25.5,27.0,False
10,8,percent,Niecy Nash,Chad Ochocinco,21.5,22.5,False
10,9,percent,Chad Ochocinco,Erin Andrews,26.0,28.0,False
11,1,percent,David Hasselhoff,Margaret Cho,15.0,15.0,False
11,2,percent,Michael Bolton,Margaret Cho,12.0,18.0,False
11,3,percent,Margaret Cho,Bristol Palin,18.0,19.0,False
11,4,percent,The Situation,Bristol Palin,14.0,16.0,False
11,5,percent,Florence Henderson,Bristol Palin,21.0,18.0,True
11,6,percent,Audrina Patridge,Jennifer Grey,31.9998,29.0,True
11,7,percent,Rick Fox,Jennifer Grey,34.5,36.5,False
11,8,percent,Kurt Warner,Jennifer Grey,24.0,28.5,False
11,9,percent,Brandy,Bristol Palin,28.5,26.5,True
12,2,percent,Mike Catherwood,Sugar Ray Leonard,17.0,17.0,False
12,3,percent,Wendy Williams,Romeo,15.0,20.0,False
12,4,percent,Sugar Ray Leonard,Kendra Wilkinson,21.0,18.0,True
