season,champion_no_save,champion_with_save,champion_changed,finalists_top3_changed
1,John O'Hurley,John O'Hurley,0,0
2,Stacy Keibler,Stacy Keibler,0,1
3,Emmitt Smith,Joey Lawrence,1,1
4,Apolo Anton Ohno,Joey Fatone,1,1
5,Helio Castroneves,Helio Castroneves,0,1
6,Kristi Yamaguchi,Cristian de la Fuente,1,1
7,Brooke Burke,Warren Sapp,1,1
8,Melissa Rycroft,Gilles Marini,1,0
9,Donny Osmond,Donny Osmond,0,1
10,Nicole Scherzinger,Evan Lysacek,1,0
11,Bristol Palin,Kyle Massey,1,1
12,Hines Ward,Chelsea Kane,1,1
13,Ricki Lake,J.R. Martinez,1,1
14,Donald Driver,Donald Driver,0,0
15,Melissa Rycroft,Melissa Rycroft,0,1
16,Alexandra Raisman,Alexandra Raisman,0,0
17,Amber Riley,Corbin Bleu,1,1
18,Amy Purdy,Amy Purdy,0,1
19,Alfonso Ribeiro,Janel Parrish,1,0
20,Noah Galloway,Nastia Liukin,1,1
21,Carlos PenaVega,Carlos PenaVega,0,1
22,Paige VanZant,Paige VanZant,0,1
23,Jana Kramer,Laurie Hernandez,1,0
24,David Ross,Rashad Jennings,1,1
25,Jordan Fisher,Jordan Fisher,0,0
26,Tonya Harding,Tonya Harding,0,0
27,Alexis Ren,Milo Manheim,1,1
28,Ally Brooke,James Van Der Beek,1,1
29,Kaitlyn Bristowe,Nev Schulman,1,1
30,Amanda Kloots,JoJo Siwa,1,1
31,Wayne Brady,Wayne Brady,0,0
32,Jason Mraz,Xochitl Gomez,1,1
33,Chandler Kinney,Chandler Kinney,0,0
34,Elaine Hendrix,Alix Earle,1,1
