ballroom_partner,u_pro_judge,u_pro_fan,split_style
Alan Bersten,0.4543163886159844,-2.817201075300249,judge_fav
Alan Bersten (Rashad Jennings week 9),0.5180470516110164,-2.4692436365470605,judge_fav
Alec Mazo,0.45411334219262295,-2.6644344511409637,judge_fav
Allison Holker,0.4832024452293579,-2.241153468206168,judge_fav
Anna Demidova,0.4013518413018267,-2.122757869229605,judge_fav
Anna Trebunskaya,0.4480752473078244,-2.275156478546244,judge_fav
Artem Chigvintsev,0.505369032277223,-2.5815681015097782,judge_fav
Ashly DelGrosso,0.33757892244428095,-2.381036282176648,judge_fav
Brandon Armstrong,0.46719623364162854,-3.1005191217940657,judge_fav
Brian Fortuna,0.40821096296040055,-2.5569422183840054,judge_fav
Britt Stewart,0.43249828119147526,-3.1791916105690503,judge_fav
Charlotte Jorgensen,0.4889549732617192,-2.326899082253984,judge_fav
Chelsie Hightower,0.4432168646869429,-2.2953049217502124,judge_fav
Cheryl Burke,0.47343533977362234,-2.2552584250813936,judge_fav
Corky Ballas,0.46957321320799167,-1.8868186330977363,judge_fav
Damian Whitewood,0.4923235963461957,-2.1608000191038514,judge_fav
Daniella Karagach,0.458021190449573,-2.7339387047321133,judge_fav
Daniella Karagach (Rumer Willis week 9),0.4711733400487975,-2.7647448114068403,judge_fav
Derek Hough,0.5164951168546504,-2.1250760590291464,judge_fav
Dmitry Chaplin,0.4594147314021686,-2.239305056488513,judge_fav
Edyta Sliwinska,0.45193341801021214,-2.2916511121928376,judge_fav
Elena Grinenko,0.2727545205903484,-2.589074120597021,judge_fav
Emma Slater,0.45799416223874306,-2.471102676947229,judge_fav
Emma Slater/Kaitlyn Bristowe (week 9),0.41929404714766755,-2.2809508994071375,judge_fav
Ezra Sosa (Apolo Anton Ohno week 9),0.4859363209175876,-2.886637173049611,judge_fav
Fabian Sanchez,0.4622186506507259,-2.1847110300824863,judge_fav
Gleb Savchenko,0.46253386170795385,-2.8828358940219987,judge_fav
Jan Ravnik,0.42939893808872204,-3.212198385847532,judge_fav
Jenna Johnson,0.438736410513938,-2.9801951593847424,judge_fav
Jesse DeSoto,0.43191394469488864,-2.5362576479357144,judge_fav
Jonathan Roberts,0.48024245805845733,-2.634297073362915,judge_fav
Julianne Hough,0.4647438917692023,-2.2092834059148783,judge_fav
Karina Smirnoff,0.4556440771250354,-2.249750441438664,judge_fav
Keo Motsepe,0.4354031779212291,-2.6088078894707016,judge_fav
Koko Iwasaki,0.35838714256702836,-3.080104794379724,judge_fav
Kym Herjavec,0.44151737053078677,-2.1163999910659363,judge_fav
Kym Johnson,0.4803862582471509,-2.159227787935086,judge_fav
Lacey Schwimmer,0.4213586375660186,-2.232577350650744,judge_fav
Lindsay Arnold,0.4564291794040664,-2.2174445127891853,judge_fav
Louis van Amstel,0.44972792877317913,-2.342619255594768,judge_fav
Maksim Chmerkoskiy,0.4863183651489173,-2.1857547021723076,judge_fav
Mark Ballas,0.48027490303277526,-2.327310936949941,judge_fav
Nick Kosovich,0.5066217532544686,-2.712118080727655,judge_fav
Pasha Pashkov,0.4575928728847608,-3.235285119215828,judge_fav
Peta Murgatroyd,0.4650753690165481,-2.369808841128302,judge_fav
Rylee Arnold,0.3903905674013576,-2.780016666515097,judge_fav
Sasha Farber,0.48094056770840465,-2.5015006128268564,judge_fav
Sharna Burgess,0.45567741781373783,-2.307201205233559,judge_fav
Tony Dovolani,0.4759495462007793,-2.225405087416898,judge_fav
Tristan MacManus,0.46140599829092976,-2.1792570132978164,judge_fav
Tyne Stecklein,0.3621388221215195,-2.293662175674206,judge_fav
Val Chmerkovskiy,0.48733800743755823,-2.7894815723831683,judge_fav
Val Chmerkovskiy (Joey Graziadei week 9),0.46760424408089696,-2.982434948828067,judge_fav
Valentin Chmerkovskiy,0.4932394692606252,-2.4473462966054496,judge_fav
Witney Carson,0.4845197107550931,-2.42371572433997,judge_fav
Witney Carson (Xoshitl Gomez week 9),0.4599099402012315,-2.8902130710513427,judge_fav
