alpha,k,M_F,M_E
0.3,0.5,0.8986539268113661,0.11057504586916353
0.3,1.0,0.891747165752356,0.115557563351681
0.3,1.5,0.8904102673566341,0.11662708206825856
0.3,2.0,0.8859523982361354,0.11935817450523334
0.3,2.5,0.8857467215598703,0.11980380730380731
0.3,3.0,0.8824705859307935,0.12319747246217834
0.35,0.5,0.8951819662459801,0.11277407233289587
0.35,1.0,0.8875138990190894,0.11791305100128631
0.35,1.5,0.8814905106427597,0.12302068846186491
0.35,2.0,0.869759421662536,0.12867728676552204
0.35,2.5,0.8727813996845138,0.12708280281809692
0.35,3.0,0.8721878755615781,0.12740600902365606
0.39999999999999997,0.5,0.8934013938771725,0.11366044086632321
0.39999999999999997,1.0,0.8707879778814035,0.1279931669637552
0.39999999999999997,1.5,0.875026948253592,0.126976046828988
0.39999999999999997,2.0,0.8711335377425344,0.12985617323852616
0.39999999999999997,2.5,0.8732064648154614,0.12785229476405946
0.39999999999999997,3.0,0.8717843575110011,0.12849870717517775
0.44999999999999996,0.5,0.8845293835345739,0.11940175837234662
0.44999999999999996,1.0,0.8631341841549455,0.13209706959706957
0.44999999999999996,1.5,0.8666762303440505,0.13255053769759653
0.44999999999999996,2.0,0.8647625730670714,0.13279351367586661
0.44999999999999996,2.5,0.8545316275420083,0.14048190371719785
0.44999999999999996,3.0,0.844811935469375,0.14558464411405592
0.5,0.5,0.8728910218962123,0.1274397987633282
0.5,1.0,0.8487177182678914,0.14493912949795304
0.5,1.5,0.8455288655980698,0.14469337851690797
0.5,2.0,0.8456934069390818,0.1447374520903933
0.5,2.5,0.8441420171523979,0.14570707070707073
0.5,3.0,0.8424613448834903,0.14710763093116036
0.5499999999999999,0.5,0.8543056856638173,0.1373413351354528
0.5499999999999999,1.0,0.8428403776154642,0.14660813043165988
0.5499999999999999,1.5,0.8444015327233322,0.14521687462863936
0.5499999999999999,2.0,0.8436258378299902,0.14532461003049238
0.5499999999999999,2.5,0.8477922596434708,0.14232760703348937
0.5499999999999999,3.0,0.8481382804047164,0.14208250899427372
0.6,0.5,0.843983481916008,0.14597045111750995
0.6,1.0,0.840644260583707,0.14802876861700393
0.6,1.5,0.843582498816063,0.1454627072274131
0.6,2.0,0.8437441019188425,0.14508563332092744
0.6,2.5,0.8450046061205232,0.14480552127610952
0.6,3.0,0.8466933585445696,0.143728167257579
0.6499999999999999,0.5,0.8311037146244761,0.1516259067729656
0.6499999999999999,1.0,0.8421427620822086,0.147690871220283
0.6499999999999999,1.5,0.843582498816063,0.1454627072274131
0.6499999999999999,2.0,0.843582498816063,0.1454627072274131
0.6499999999999999,2.5,0.8432269719899479,0.1454088395264866
0.6499999999999999,3.0,0.8444874761916286,0.14512872748166866
0.7,0.5,0.8441011410734595,0.14476707932590285
0.7,1.0,0.8439057050216221,0.14557044262926616
0.7,1.5,0.841703927560329,0.14814140108257753
0.7,2.0,0.8384395448841817,0.1507270507270507
0.7,2.5,0.8358274510956172,0.15099638923168332
0.7,3.0,0.8385747038428701,0.1491795785913433
