run,M_F,M_E
0,0.8970457742949093,0.11600482850482849
1,0.8961718788708408,0.11491604800428332
2,0.8865626443913641,0.122721396250808
3,0.894029039011738,0.11815765933412992
4,0.8958623268311848,0.11625221184044714
5,0.8953243843814779,0.11765448603683899
6,0.8945552429116443,0.11760404628051688
7,0.8915333513084379,0.11712356271179801
8,0.8885001820555454,0.12085226864638629
9,0.889124312826735,0.12085349291231644
10,0.8929686230724293,0.115623673711909
11,0.8936050541154348,0.11671220935926818
12,0.899695517861608,0.11507716140069082
13,0.9027084219125742,0.11086984910514323
14,0.8986138140982431,0.11335233394056923
15,0.8982609086415315,0.11451644760468291
16,0.8918289755227472,0.11874702095290329
17,0.8913858632716766,0.11688613673907791
18,0.8935768527896556,0.11733495262907029
19,0.9021970820413727,0.11360706287176876
20,0.8931664644467413,0.11712315462315463
21,0.8913478246090704,0.11951341142517613
22,0.8879308263823835,0.1181243593008299
23,0.8931503329427205,0.116677685060038
24,0.8955429662609593,0.11712650095003037
25,0.8903829734279562,0.11873298270357094
26,0.9000835237426933,0.11225245342892404
27,0.8910346717872669,0.11710323989735755
28,0.8906478325595973,0.12055011981482569
29,0.8959970969054014,0.11712633771457301
